EnglishDate,NepaliDate,Max,Min,Wind,Rain,Humidity,Cloud,Pressure
2010-1-19,2066-10-5,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-19,2067-10-5,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-19,2068-10-5,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-19,2069-10-6,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-19,2070-10-5,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-19,2071-10-5,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-19,2072-10-5,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-19,2073-10-6,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-19,2074-10-5,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-19,2075-10-5,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-19,2076-10-5,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-19,2077-10-6,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-19,2078-10-5,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-19,2079-10-5,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-20,2065-10-7,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-20,2066-10-6,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-20,2067-10-6,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-20,2068-10-6,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-20,2069-10-7,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-20,2070-10-6,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-20,2071-10-6,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-20,2072-10-6,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-20,2073-10-7,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-20,2074-10-6,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-20,2075-10-6,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-20,2076-10-6,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-20,2077-10-7,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-20,2078-10-6,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-20,2079-10-6,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-21,2065-10-8,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-21,2066-10-7,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-21,2067-10-7,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-21,2068-10-7,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-21,2069-10-8,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-21,2070-10-7,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-21,2071-10-7,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-21,2072-10-7,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-21,2073-10-8,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-21,2074-10-7,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-21,2075-10-7,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-21,2076-10-7,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-21,2077-10-8,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-21,2078-10-7,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-21,2079-10-7,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-22,2065-10-9,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-22,2066-10-8,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-22,2067-10-8,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-22,2068-10-8,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-22,2069-10-9,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-22,2070-10-8,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-22,2071-10-8,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-22,2072-10-8,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-22,2073-10-9,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-22,2074-10-8,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-22,2075-10-8,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-22,2076-10-8,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-22,2077-10-9,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-22,2078-10-8,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-22,2079-10-8,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-23,2065-10-10,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-23,2066-10-9,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-23,2067-10-9,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-23,2068-10-9,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-23,2069-10-10,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-23,2070-10-9,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-23,2071-10-9,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-23,2072-10-9,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-23,2073-10-10,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-23,2074-10-9,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-23,2075-10-9,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-23,2076-10-9,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-23,2077-10-10,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-23,2078-10-9,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-23,2079-10-9,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-24,2065-10-11,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-24,2066-10-10,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-24,2067-10-10,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-24,2068-10-10,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-24,2069-10-11,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-24,2070-10-10,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-24,2071-10-10,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-24,2072-10-10,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-24,2073-10-11,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-24,2074-10-10,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-24,2075-10-10,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-24,2076-10-10,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-24,2077-10-11,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-24,2078-10-10,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-24,2079-10-10,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-25,2065-10-12,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-25,2066-10-11,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-25,2067-10-11,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-25,2068-10-11,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-25,2069-10-12,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-25,2070-10-11,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-25,2071-10-11,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-25,2072-10-11,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-25,2073-10-12,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-25,2074-10-11,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-25,2075-10-11,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-25,2076-10-11,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-25,2077-10-12,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-25,2078-10-11,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-25,2079-10-11,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-26,2065-10-13,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-26,2066-10-12,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-26,2067-10-12,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-26,2068-10-12,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-26,2069-10-13,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-26,2070-10-12,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-26,2071-10-12,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-26,2072-10-12,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-26,2073-10-13,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-26,2074-10-12,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-26,2075-10-12,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-26,2076-10-12,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-26,2077-10-13,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-26,2078-10-12,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-26,2079-10-12,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-27,2065-10-14,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-27,2066-10-13,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-27,2067-10-13,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-27,2068-10-13,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-27,2069-10-14,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-27,2070-10-13,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-27,2071-10-13,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-27,2072-10-13,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-27,2073-10-14,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-27,2074-10-13,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-27,2075-10-13,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-27,2076-10-13,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-27,2077-10-14,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-27,2078-10-13,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-27,2079-10-13,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-28,2065-10-15,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-28,2066-10-14,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-28,2067-10-14,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-28,2068-10-14,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-28,2069-10-15,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-28,2070-10-14,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-28,2071-10-14,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-28,2072-10-14,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-28,2073-10-15,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-28,2074-10-14,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-28,2075-10-14,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-28,2076-10-14,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-28,2077-10-15,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-28,2078-10-14,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-28,2079-10-14,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-29,2065-10-16,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-29,2066-10-15,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-29,2067-10-15,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-29,2068-10-15,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-29,2069-10-16,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-29,2070-10-15,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-29,2071-10-15,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-29,2072-10-15,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-29,2073-10-16,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-29,2074-10-15,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-29,2075-10-15,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-29,2076-10-15,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-29,2077-10-16,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-29,2078-10-15,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-29,2079-10-15,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-1-30,2065-10-17,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-1-30,2066-10-16,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-1-30,2067-10-16,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-1-30,2068-10-16,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-1-30,2069-10-17,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-1-30,2070-10-16,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-1-30,2071-10-16,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-1-30,2072-10-16,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-1-30,2073-10-17,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-1-30,2074-10-16,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-1-30,2075-10-16,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-1-30,2076-10-16,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-1-30,2077-10-17,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-1-30,2078-10-16,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-1-30,2079-10-16,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-2-1,2065-10-19,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-2-1,2066-10-18,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-2-1,2067-10-18,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-2-1,2068-10-18,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-2-1,2069-10-19,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-2-1,2070-10-18,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-2-1,2071-10-18,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-2-1,2072-10-18,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-2-1,2073-10-19,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-2-1,2074-10-18,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-2-1,2075-10-18,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-2-1,2076-10-18,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-2-1,2077-10-19,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-2-1,2078-10-18,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-2-1,2079-10-18,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-2-2,2065-10-20,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-2-2,2066-10-19,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-2-2,2067-10-19,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-2-2,2068-10-19,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-2-2,2069-10-20,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-2-2,2070-10-19,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-2-2,2071-10-19,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-2-2,2072-10-19,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-2-2,2073-10-20,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-2-2,2074-10-19,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-2-2,2075-10-19,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-2-2,2076-10-19,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-2-2,2077-10-20,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-2-2,2078-10-19,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-2-2,2079-10-19,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-2-3,2065-10-21,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-2-3,2066-10-20,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-2-3,2067-10-20,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-2-3,2068-10-20,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-2-3,2069-10-21,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-2-3,2070-10-20,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-2-3,2071-10-20,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-2-3,2072-10-20,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-2-3,2073-10-21,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-2-3,2074-10-20,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-2-3,2075-10-20,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-2-3,2076-10-20,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-2-3,2077-10-21,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-2-3,2078-10-20,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-2-3,2079-10-20,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-2-4,2065-10-22,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-2-4,2066-10-21,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-2-4,2067-10-21,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-2-4,2068-10-21,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-2-4,2069-10-22,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-2-4,2070-10-21,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-2-4,2071-10-21,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-2-4,2072-10-21,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-2-4,2073-10-22,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-2-4,2074-10-21,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-2-4,2075-10-21,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-2-4,2076-10-21,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-2-4,2077-10-22,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-2-4,2078-10-21,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-2-4,2079-10-21,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-2-5,2065-10-23,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-2-5,2066-10-22,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-2-5,2067-10-22,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-2-5,2068-10-22,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-2-5,2069-10-23,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-2-5,2070-10-22,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-2-5,2071-10-22,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-2-5,2072-10-22,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-2-5,2073-10-23,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-2-5,2074-10-22,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-2-5,2075-10-22,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-2-5,2076-10-22,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-2-5,2077-10-23,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-2-5,2078-10-22,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-2-5,2079-10-22,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-2-6,2065-10-24,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-2-6,2066-10-23,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
2011-2-6,2067-10-23,15 °c,4 °c,7 km/hSSE,0.5 mm,48%,42%,1015 mb
2012-2-6,2068-10-23,11 °c,2 °c,7 km/hESE,0.1 mm,48%,3%,1011 mb
2013-2-6,2069-10-24,17 °c,7 °c,7 km/hE,0.0 mm,44%,1%,1020 mb
2014-2-6,2070-10-23,13 °c,2 °c,6 km/hE,0.0 mm,31%,0%,1018 mb
2015-2-6,2071-10-23,10 °c,2 °c,3 km/hSSW,5.5 mm,55%,38%,1014 mb
2016-2-6,2072-10-23,16 °c,6 °c,5 km/hSSW,5.4 mm,48%,18%,1019 mb
2017-2-6,2073-10-24,14 °c,2 °c,4 km/hWSW,0.9 mm,42%,10%,1013 mb
2018-2-6,2074-10-23,17 °c,4 °c,8 km/hWNW,2.7 mm,59%,11%,1011 mb
2019-2-6,2075-10-23,12 °c,2 °c,6 km/hWSW,9.6 mm,69%,35%,1015 mb
2020-2-6,2076-10-23,23 °c,11 °c,7 km/hSSW,3.6 mm,52%,56%,1015 mb
2021-2-6,2077-10-24,26 °c,12 °c,8 km/hS,0.0 mm,19%,0%,1015 mb
2022-2-6,2078-10-23,25 °c,12 °c,10 km/hWSW,0.0 mm,42%,11%,1015 mb
2023-2-6,2079-10-23,31 °c,15 °c,10 km/hWSW,0.0 mm,27%,2%,1017 mb
2009-2-7,2065-10-25,19 °c,6 °c,9 km/hS,0.0 mm,51%,2%,1014 mb
2010-2-7,2066-10-24,18 °c,8 °c,12 km/hSE,0.0 mm,36%,10%,1013 mb
